,State,County,Increase Rate Predicted for The Next 2 Weeks
0,California,Orange,0.24294878183105603
1,California,Los Angeles,0.20270534378915886
2,California,Santa Clara,0.1699505751258087
3,California,San Francisco,0.2716487859966122
4,California,San Diego,0.22213923109257278
5,California,Humboldt,0.17780392156862734
6,California,Sacramento,0.16889485502294246
7,California,Solano,0.21797634353304193
8,California,Marin,0.1849113680154142
9,California,Napa,0.40813492063492074
10,California,Sonoma,0.32801433915211986
11,California,Alameda,0.2666850374269968
12,California,Placer,0.28859859859859854
13,California,San Mateo,0.18068947551233064
14,California,Contra Costa,0.30028351753964433
15,California,Yolo,0.2140464547677262
16,California,Fresno,0.3307012045231071
17,California,Madera,0.30598334104581215
18,California,Riverside,0.16540406760534473
19,California,Santa Cruz,0.3824792013311148
20,California,Shasta,0.4044306930693069
21,California,San Joaquin,0.21405146024654587
22,California,Ventura,0.21904229161544142
23,California,Stanislaus,0.19426648146169456
24,California,Tulare,0.28192498511609443
25,California,San Benito,0.36171469740634
26,California,San Luis Obispo,0.42394416243654826
27,California,San Bernardino,0.2462490872447937
28,California,Santa Barbara,0.23419359732969197
29,California,Nevada,0.34645962732919255
30,California,Kern,0.30284794475808324
31,California,Monterey,0.3534184987126163
32,California,Mendocino,0.32626404494382016
33,California,Amador,0.9713636363636362
34,California,Imperial,0.14050492352817937
35,California,Butte,0.4048202137998056
36,California,El Dorado,0.40591168091168095
37,California,Siskiyou,0.4770786516853934
38,California,Yuba,0.538372513562387
